GEOID,MUNI,COHORT,WEIGHTED_SCORE,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP
1700243,Addison,2,52.77777777777778,8,7,3,5
1700685,Algonquin,1,80.55555555555556,8,7,8,10
1701010,Alsip,2,58.333333333333336,7,6,2,10
1701595,Antioch,1,66.66666666666666,6,6,6,10
1702154,Arlington Heights,1,80.55555555555556,10,7,7,9
1703012,Aurora,2,47.22222222222222,10,3,4,4
1703610,Bannockburn,1,72.22222222222221,1,10,9,10
1703844,Barrington,1,83.33333333333334,5,10,9,10
1703883,Barrington Hills,1,77.77777777777779,3,9,10,10
1704013,Bartlett,1,72.22222222222221,9,4,8,9
1704078,Batavia,1,77.77777777777779,8,7,7,10
1704303,Beach Park,2,52.77777777777778,6,2,5,10
1704572,Bedford Park,2,58.333333333333336,1,10,4,10
1704585,Beecher,2,47.22222222222222,3,4,4,10
1704975,Bellwood,4,25,7,1,3,2
1705248,Bensenville,2,61.111111111111114,7,8,3,8
1705404,Berkeley,3,41.66666666666667,3,2,4,10
1705573,Berwyn,4,36.11111111111111,9,2,3,3
1705976,Big Rock,2,58.333333333333336,1,7,7,10
1706587,Bloomingdale,1,72.22222222222221,7,8,6,9
1706704,Blue Island,4,16.666666666666664,7,1,1,1
1707133,Bolingbrook,1,72.22222222222221,10,6,6,8
1707640,Braceville,4,33.33333333333333,1,2,3,10
1707770,Braidwood,2,47.22222222222222,4,3,4,10
1708225,Bridgeview,2,55.55555555555556,6,8,2,8
1708446,Broadview,4,36.11111111111111,4,7,2,4
1708576,Brookfield,3,41.66666666666667,7,3,6,3
1709447,Buffalo Grove,1,86.11111111111111,9,7,9,10
1709531,Bull Valley,2,63.888888888888886,1,7,9,10
1709642,Burbank,3,38.88888888888889,8,3,3,4
1709759,Burlington,2,47.22222222222222,1,4,6,10
1709798,Burnham,4,5.555555555555555,3,1,1,1
1709980,Burr Ridge,1,86.11111111111111,5,10,10,10
1710487,Calumet City,4,25,8,3,1,1
1710513,Calumet Park,4,25,4,2,2,5
1710906,Campton Hills,1,75,5,6,10,10
1711332,Carol Stream,1,72.22222222222221,9,6,6,9
1711358,Carpentersville,3,38.88888888888889,9,3,3,3
1711592,Cary,1,69.44444444444444,7,4,8,10
1712476,Channahon,2,63.888888888888886,6,4,7,10
1714000,Chicago,2,47.22222222222222,10,5,2,4
1714026,Chicago Heights,4,27.77777777777778,8,2,2,2
1714065,Chicago Ridge,3,38.88888888888889,6,6,1,5
1714351,Cicero,4,27.77777777777778,10,2,1,1
1714572,Clarendon Hills,1,77.77777777777779,5,8,9,10
1715170,Coal City,2,50,3,4,5,10
1716691,Country Club Hills,3,38.88888888888889,7,2,3,6
1716873,Countryside,2,61.111111111111114,4,10,2,10
1717458,Crest Hill,2,50,7,3,2,10
1717497,Crestwood,2,55.55555555555556,5,8,2,9
1717523,Crete,2,52.77777777777778,5,3,5,10
1717887,Crystal Lake,1,77.77777777777779,9,7,6,10
1718628,Darien,1,75,7,7,7,10
1719083,Deer Park,1,77.77777777777779,3,9,10,10
1718992,Deerfield,1,88.88888888888889,7,9,10,10
1719642,Des Plaines,1,69.44444444444444,9,7,4,9
1719837,Diamond,3,38.88888888888889,2,3,3,10
1720149,Dixmoor,4,5.555555555555555,3,1,1,1
1720292,Dolton,4,16.666666666666664,7,1,1,1
1720591,Downers Grove,1,83.33333333333334,9,8,7,10
1721696,East Dundee,2,55.55555555555556,2,8,4,10
1721904,East Hazel Crest,4,33.33333333333333,1,2,3,10
1722931,Elburn,1,66.66666666666666,4,6,8,10
1723074,Elgin,2,52.77777777777778,10,4,4,5
1723256,Elk Grove Village,1,77.77777777777779,8,9,5,10
1723620,Elmhurst,1,86.11111111111111,9,8,8,10
1723724,Elmwood Park,3,44.44444444444444,8,3,3,6
1723945,Elwood,3,44.44444444444444,2,3,5,10
1724582,Evanston,1,75,10,6,5,10
1724634,Evergreen Park,2,58.333333333333336,7,6,4,8
1726571,Flossmoor,2,63.888888888888886,5,4,8,10
1726710,Ford Heights,4,2.7777777777777777,2,1,1,1
1726935,Forest Park,2,58.333333333333336,6,6,3,10
1726987,Forest View,2,55.55555555555556,1,10,3,10
1727442,Fox Lake,2,58.333333333333336,5,7,3,10
1727533,Fox River Grove,2,61.111111111111114,3,5,8,10
1727624,Frankfort,1,83.33333333333334,7,8,9,10
1727702,Franklin Park,2,61.111111111111114,7,6,3,10
1728872,Geneva,1,80.55555555555556,7,8,8,10
1729171,Gilberts,2,61.111111111111114,5,3,8,10
1729756,Glen Ellyn,1,83.33333333333334,8,7,9,10
1729652,Glencoe,1,86.11111111111111,5,10,10,10
1729730,Glendale Heights,2,55.55555555555556,8,5,4,7
1729938,Glenview,1,88.88888888888889,9,9,8,10
1730029,Glenwood,4,36.11111111111111,5,2,3,7
1730120,Godley,4,30.555555555555557,1,1,3,10
1730328,Golf,1,72.22222222222221,1,9,10,10
1731121,Grayslake,1,66.66666666666666,7,5,7,9
1731446,Green Oaks,1,77.77777777777779,3,9,10,10
1731667,Greenwood,2,50,1,4,7,10
1732018,Gurnee,1,80.55555555555556,8,8,7,10
1732200,Hainesville,3,41.66666666666667,3,3,7,6
1732525,Hampshire,2,63.888888888888886,4,5,8,10
1732746,Hanover Park,2,55.55555555555556,9,4,5,6
1733331,Harvard,4,22.22222222222222,5,3,2,2
1733383,Harvey,4,19.444444444444446,8,1,1,1
1733435,Harwood Heights,2,52.77777777777778,5,6,2,10
1733630,Hawthorn Woods,1,77.77777777777779,5,7,10,10
1733695,Hazel Crest,4,25,6,1,2,4
1733851,Hebron,4,33.33333333333333,1,3,2,10
1734514,Hickory Hills,2,47.22222222222222,6,4,4,7
1734722,Highland Park,1,94.44444444444444,8,10,10,10
1734865,Highwood,4,22.22222222222222,3,5,3,1
1735086,Hillside,2,55.55555555555556,4,8,2,10
1735307,Hinsdale,1,91.66666666666666,7,10,10,10
1735385,Hodgkins,2,50,1,10,1,10
1735411,Hoffman Estates,1,75,9,6,7,9
1735515,Holiday Hills,4,36.11111111111111,1,1,5,10
1735835,Homer Glen,1,77.77777777777779,8,6,8,10
1735866,Hometown,4,8.333333333333332,3,1,2,1
1735879,Homewood,2,58.333333333333336,7,6,5,7
1736750,Huntley,1,66.66666666666666,8,5,5,10
1737218,Indian Creek,2,63.888888888888886,1,6,10,10
1737257,Indian Head Park,2,55.55555555555556,3,5,6,10
1737608,Inverness,1,77.77777777777779,4,8,10,10
1737894,Island Lake,2,55.55555555555556,5,4,5,10
1737907,Itasca,1,75,5,9,7,10
1738479,Johnsburg,1,69.44444444444444,4,6,9,10
1738570,Joliet,2,58.333333333333336,10,4,4,7
1738830,Justice,4,27.77777777777778,6,1,2,5
1738895,Kaneville,4,36.11111111111111,1,2,4,10
1739519,Kenilworth,1,77.77777777777779,2,10,10,10
1739883,Kildeer,1,80.55555555555556,3,10,10,10
1740767,La Grange,1,75,6,6,9,10
1740793,La Grange Park,2,55.55555555555556,6,4,7,7
1740884,Lake Barrington,1,69.44444444444444,3,8,8,10
1740910,Lake Bluff,1,83.33333333333334,4,10,10,10
1741105,Lake Forest,1,91.66666666666666,7,10,10,10
1741183,Lake in the Hills,1,69.44444444444444,8,4,7,10
1741586,Lake Villa,2,61.111111111111114,5,4,7,10
1741742,Lake Zurich,1,83.33333333333334,7,8,9,10
1741326,Lakemoor,2,52.77777777777778,4,4,5,10
1741651,Lakewood,1,69.44444444444444,3,6,10,10
1742028,Lansing,3,38.88888888888889,8,3,2,5
1742795,Lemont,1,72.22222222222221,7,6,7,10
1743250,Libertyville,1,88.88888888888889,7,9,10,10
1743406,Lily Lake,2,58.333333333333336,1,5,9,10
1743666,Lincolnshire,1,77.77777777777779,4,9,9,10
1743744,Lincolnwood,1,80.55555555555556,6,9,8,10
1743770,Lindenhurst,1,66.66666666666666,6,4,8,10
1743900,Lisbon,4,33.33333333333333,1,2,3,10
1743939,Lisle,1,75,7,8,6,10
1744225,Lockport,1,72.22222222222221,8,5,7,10
1744407,Lombard,1,66.66666666666666,9,7,5,7
1744524,Long Grove,1,80.55555555555556,4,9,10,10
1745421,Lynwood,4,16.666666666666664,5,2,2,1
1745434,Lyons,4,33.33333333333333,5,4,2,5
1746357,Manhattan,2,58.333333333333336,4,3,8,10
1746604,Maple Park,3,41.66666666666667,1,3,5,10
1746786,Marengo,3,44.44444444444444,4,3,3,10
1747007,Markham,4,16.666666666666664,6,2,1,1
1747540,Matteson,1,69.44444444444444,7,6,7,9
1747774,Maywood,4,19.444444444444446,7,1,2,1
1745564,McCook,2,55.55555555555556,1,10,3,10
1745616,McCullom Lake,4,27.77777777777778,1,1,2,10
1745694,McHenry,1,69.44444444444444,8,6,5,10
1748242,Melrose Park,3,41.66666666666667,8,7,2,2
1748554,Merrionette Park,3,41.66666666666667,1,6,2,10
1748671,Mettawa,1,75,1,10,10,10
1748892,Midlothian,3,41.66666666666667,6,3,3,7
1749100,Millbrook,3,44.44444444444444,1,4,5,10
1749308,Millington,4,33.33333333333333,1,1,4,10
1749607,Minooka,1,69.44444444444444,5,7,7,10
1749854,Mokena,1,80.55555555555556,7,8,8,10
1749945,Monee,2,50,3,4,5,10
1750218,Montgomery,1,72.22222222222221,7,6,7,10
1750647,Morton Grove,1,66.66666666666666,7,7,6,8
1751089,Mount Prospect,1,69.44444444444444,9,8,5,7
1751349,Mundelein,1,69.44444444444444,8,5,7,9
1751622,Naperville,1,88.88888888888889,10,8,9,9
1752584,New Lenox,1,77.77777777777779,8,6,8,10
1752103,Newark,3,44.44444444444444,1,4,5,10
1753000,Niles,2,63.888888888888886,8,9,3,7
1753377,Norridge,1,66.66666666666666,6,8,4,10
1753442,North Aurora,1,72.22222222222221,7,7,6,10
1753455,North Barrington,1,75,2,9,10,10
1753559,North Chicago,4,19.444444444444446,8,1,1,1
1754144,North Riverside,2,63.888888888888886,4,10,3,10
1753481,Northbrook,1,88.88888888888889,8,9,9,10
1753663,Northfield,1,77.77777777777779,3,10,9,10
1753871,Northlake,2,52.77777777777778,6,7,2,8
1754534,Oak Brook,1,86.11111111111111,5,10,10,10
1754638,Oak Forest,2,61.111111111111114,8,3,5,10
1754820,Oak Lawn,2,55.55555555555556,9,5,3,7
1754885,Oak Park,1,72.22222222222221,9,4,7,10
1754560,Oakbrook Terrace,2,50,2,10,5,5
1755041,Oakwood Hills,2,50,2,3,7,10
1755639,Old Mill Creek,2,55.55555555555556,1,6,7,10
1755938,Olympia Fields,2,63.888888888888886,3,6,8,10
1756627,Orland Hills,2,61.111111111111114,4,5,7,10
1756640,Orland Park,1,83.33333333333334,9,8,7,10
1756887,Oswego,1,72.22222222222221,8,5,8,9
1757225,Palatine,1,69.44444444444444,9,5,6,9
1757381,Palos Heights,2,63.888888888888886,6,5,6,10
1757394,Palos Hills,3,44.44444444444444,7,3,3,7
1757407,Palos Park,2,63.888888888888886,3,7,7,10
1757654,Park City,4,11.11111111111111,4,1,1,2
1757732,Park Forest,4,22.22222222222222,7,1,2,2
1757875,Park Ridge,1,83.33333333333334,9,7,8,10
1759052,Peotone,2,58.333333333333336,3,6,6,10
1759572,Phoenix,4,2.7777777777777777,2,1,1,1
1759988,Pingree Grove,2,52.77777777777778,5,2,6,10
1760287,Plainfield,1,80.55555555555556,9,5,9,10
1760352,Plano,2,52.77777777777778,6,4,3,10
1760391,Plattville,3,44.44444444444444,1,2,7,10
1761216,Port Barrington,2,55.55555555555556,1,4,9,10
1761314,Posen,4,11.11111111111111,4,2,1,1
1761678,Prairie Grove,1,66.66666666666666,1,8,9,10
1762016,Prospect Heights,2,47.22222222222222,6,4,3,8
1763641,Richmond,3,44.44444444444444,2,6,2,10
1763706,Richton Park,4,36.11111111111111,6,2,2,7
1764135,Ringwood,2,61.111111111111114,1,6,9,10
1764304,River Forest,1,75,5,7,9,10
1764343,River Grove,4,30.555555555555557,5,4,2,4
1764278,Riverdale,4,13.88888888888889,6,1,1,1
1764421,Riverside,2,63.888888888888886,5,4,8,10
1764538,Riverwoods,1,80.55555555555556,3,10,10,10
1764616,Robbins,4,5.555555555555555,3,1,1,1
1764902,Rockdale,2,52.77777777777778,2,8,3,10
1765338,Rolling Meadows,2,63.888888888888886,7,6,4,10
1765442,Romeoville,2,63.888888888888886,9,6,5,7
1765806,Roselle,1,69.44444444444444,7,6,6,10
1765819,Rosemont,2,50,3,10,2,7
1766027,Round Lake,3,41.66666666666667,7,2,5,5
1766040,Round Lake Beach,3,41.66666666666667,8,3,4,4
1766053,Round Lake Heights,4,25,2,1,4,6
1766066,Round Lake Park,4,16.666666666666664,4,1,2,3
1767548,Sandwich,2,50,4,5,3,10
1767769,Sauk Village,4,11.11111111111111,5,1,1,1
1768003,Schaumburg,1,83.33333333333334,10,9,6,9
1768081,Schiller Park,2,58.333333333333336,6,6,3,10
1769758,Shorewood,1,77.77777777777779,7,7,8,10
1770122,Skokie,1,75,9,7,5,10
1770161,Sleepy Hollow,2,55.55555555555556,2,4,8,10
1770564,South Barrington,1,80.55555555555556,3,10,10,10
1770629,South Chicago Heights,4,16.666666666666664,3,5,1,1
1770720,South Elgin,1,72.22222222222221,7,6,7,10
1770850,South Holland,3,38.88888888888889,7,3,3,5
1772052,Spring Grove,1,66.66666666666666,4,5,9,10
1766703,St. Charles,1,80.55555555555556,8,8,7,10
1772520,Steger,4,33.33333333333333,5,2,1,8
1772676,Stickney,4,19.444444444444446,4,2,4,1
1772923,Stone Park,4,8.333333333333332,3,2,1,1
1773157,Streamwood,2,63.888888888888886,9,4,6,8
1773391,Sugar Grove,1,69.44444444444444,5,5,9,10
1773638,Summit,4,19.444444444444446,5,3,2,1
1774275,Symerton,2,52.77777777777778,1,9,3,10
1775081,Third Lake,2,63.888888888888886,1,7,9,10
1775185,Thornton,3,38.88888888888889,2,3,3,10
1775484,Tinley Park,1,75,9,6,6,10
1775874,Tower Lakes,2,63.888888888888886,1,6,10,10
1776160,Trout Valley,2,61.111111111111114,1,5,10,10
1776706,Union,2,55.55555555555556,1,9,4,10
1776935,University Park,4,27.77777777777778,4,2,2,6
1777694,Vernon Hills,1,86.11111111111111,8,9,8,10
1777993,Villa Park,2,63.888888888888886,7,7,5,8
1778175,Virgil,2,47.22222222222222,1,3,7,10
1778227,Volo,2,63.888888888888886,4,5,8,10
1778370,Wadsworth,2,63.888888888888886,3,6,8,10
1778929,Warrenville,1,69.44444444444444,6,6,7,10
1779267,Wauconda,2,61.111111111111114,6,5,6,9
1779293,Waukegan,4,33.33333333333333,10,2,2,2
1779397,Wayne,1,72.22222222222221,2,8,10,10
1780060,West Chicago,2,58.333333333333336,8,5,4,8
1780125,West Dundee,1,66.66666666666666,5,6,7,10
1780047,Westchester,2,61.111111111111114,6,5,6,9
1780242,Western Springs,1,80.55555555555556,6,7,10,10
1780645,Westmont,1,69.44444444444444,8,8,3,10
1781048,Wheaton,1,80.55555555555556,9,6,8,10
1781087,Wheeling,2,52.77777777777778,9,5,4,5
1782049,Willow Springs,2,58.333333333333336,4,4,7,10
1781919,Willowbrook,1,66.66666666666666,5,9,4,10
1782075,Wilmette,1,91.66666666666666,8,9,10,10
1782101,Wilmington,2,47.22222222222222,4,5,2,10
1782400,Winfield,1,66.66666666666666,5,5,8,10
1782530,Winnetka,1,88.88888888888889,6,10,10,10
1782686,Winthrop Harbor,3,38.88888888888889,4,2,6,6
1782855,Wonder Lake,2,47.22222222222222,3,2,6,10
1782985,Wood Dale,1,69.44444444444444,6,8,5,10
1783245,Woodridge,1,72.22222222222221,8,6,6,10
1783349,Woodstock,2,55.55555555555556,8,4,3,9
1783518,Worth,3,41.66666666666667,5,2,2,10
1784038,Yorkville,1,72.22222222222221,7,5,8,10
1784220,Zion,4,33.33333333333333,7,2,1,6
